county_id,state,population,rural_index,pct_college_educated,median_household_income,pct_uninsured,primary_care_per_100k,pct_republican_vote,social_trust_score,prior_flu_vax_rate,covid_death_rate_100k,hesitancy_score,vaccination_rate,high_hesitancy
CTY0052,IL,14546,0.177,0.446,58905,0.095,40.3,0.559,0.475,0.523,90.7,50.4,0.552,0
CTY0053,WV,62880,0.465,0.38,74649,0.064,34.9,0.321,0.405,0.418,200.1,63.99,0.438,0
CTY0054,MO,12628,0.653,0.139,56858,0.135,41.2,0.667,0.858,0.499,55.4,75.9,0.183,1
CTY0055,OH,48808,0.312,0.287,55549,0.164,23.1,0.186,0.536,0.543,149.9,48.78,0.472,0
CTY0056,MO,58096,0.172,0.251,33800,0.039,89.0,0.865,0.605,0.427,224.6,85.09,0.289,1
CTY0057,WV,8846,0.102,0.446,43421,0.144,64.9,0.35,0.601,0.324,244.7,43.55,0.527,0
CTY0058,IL,158410,0.588,0.405,69289,0.11,98.6,0.92,0.747,0.488,190.3,74.39,0.212,1
CTY0059,PA,133935,0.093,0.187,56798,0.138,82.1,0.435,0.607,0.5,194.2,70.67,0.4,0
CTY0060,MO,42171,0.263,0.323,46303,0.172,56.6,0.418,0.408,0.662,254.6,66.53,0.405,0
CTY0061,IL,191627,0.555,0.329,53217,0.078,24.9,0.744,0.376,0.445,137.5,75.49,0.346,1
CTY0062,MI,95113,0.722,0.137,33534,0.051,81.8,0.562,0.53,0.414,244.0,90.11,0.23,1
CTY0063,IL,18239,0.436,0.258,54499,0.136,82.8,0.534,0.411,0.728,231.9,57.34,0.52,0
CTY0064,TN,453241,0.415,0.21,32582,0.06,74.7,0.365,0.9,0.416,185.8,37.99,0.526,0
CTY0065,PA,36780,0.669,0.062,67029,0.06,82.3,0.502,0.66,0.621,294.0,72.39,0.444,1
CTY0066,FL,35241,0.612,0.157,70056,0.045,108.2,0.794,0.582,0.445,212.7,72.91,0.343,1
CTY0067,IL,51787,0.479,0.429,69057,0.228,93.3,0.502,0.504,0.383,185.4,67.67,0.329,0
CTY0068,PA,23241,0.323,0.36,50453,0.02,50.5,0.782,0.459,0.574,205.7,89.25,0.328,1
CTY0069,MO,23596,0.336,0.422,25950,0.159,93.7,0.645,0.524,0.522,238.6,42.53,0.547,0
CTY0070,TN,71838,0.116,0.233,59850,0.128,49.8,0.537,0.496,0.447,85.4,68.71,0.35,0
CTY0071,MO,45052,0.237,0.445,80619,0.164,54.5,0.285,0.66,0.518,152.7,30.79,0.673,0
CTY0072,IN,447353,0.264,0.165,46992,0.147,64.2,0.468,0.65,0.703,221.9,51.9,0.507,0
CTY0073,GA,57748,0.51,0.417,46783,0.161,98.3,0.524,0.265,0.657,210.1,65.03,0.38,0
CTY0074,GA,45374,0.163,0.365,52358,0.096,78.1,0.404,0.468,0.522,136.5,35.67,0.615,0
CTY0075,FL,327312,0.267,0.281,74450,0.106,57.7,0.523,0.323,0.413,176.3,69.27,0.338,0
CTY0076,MI,23717,0.094,0.168,36389,0.125,113.3,0.566,0.208,0.451,225.3,74.84,0.354,1
CTY0077,FL,120028,0.237,0.329,39031,0.204,86.7,0.529,0.261,0.47,175.7,46.0,0.515,0
CTY0078,GA,177324,0.342,0.259,42906,0.087,61.9,0.514,0.516,0.507,259.6,51.11,0.506,0
CTY0079,IL,22837,0.04,0.231,71382,0.073,87.2,0.304,0.593,0.606,191.6,39.71,0.654,0
CTY0080,OH,57268,0.378,0.173,48912,0.066,75.1,0.898,0.578,0.639,202.3,78.36,0.387,1
CTY0081,NC,21249,0.757,0.353,42157,0.045,69.1,0.539,0.676,0.569,131.5,59.08,0.411,0
CTY0082,TN,109186,0.189,0.216,52337,0.09,51.6,0.58,0.536,0.424,184.1,70.16,0.369,0
CTY0083,IL,129308,0.481,0.499,59619,0.031,79.8,0.695,0.385,0.418,203.8,60.62,0.448,0
CTY0084,IN,29703,0.507,0.282,25988,0.132,83.0,0.595,0.309,0.18,58.8,76.13,0.279,1
CTY0085,MI,16792,0.452,0.274,35644,0.052,111.2,0.529,0.524,0.391,252.1,80.35,0.332,1
CTY0086,OH,16450,0.521,0.266,91588,0.089,43.1,0.594,0.413,0.66,148.0,65.87,0.482,0
CTY0087,VA,37318,0.409,0.471,54688,0.077,71.5,0.328,0.564,0.701,115.0,49.24,0.606,0
CTY0088,TN,626628,0.115,0.381,79832,0.183,90.5,0.803,0.746,0.669,217.6,42.93,0.558,0
CTY0089,OH,34729,0.123,0.18,29679,0.195,88.5,0.518,0.677,0.55,99.8,44.2,0.48,0
CTY0090,MI,34350,0.054,0.491,66532,0.135,41.5,0.377,0.684,0.481,84.8,32.12,0.639,0
CTY0091,IL,40484,0.672,0.38,60892,0.108,69.2,0.524,0.469,0.432,159.0,72.64,0.363,1
CTY0092,TX,46004,0.4,0.178,40781,0.137,90.1,0.572,0.486,0.589,207.0,79.5,0.316,1
CTY0093,IN,18702,0.352,0.211,65353,0.179,71.0,0.621,0.355,0.464,306.1,53.92,0.514,0
CTY0094,MI,39373,0.549,0.325,42422,0.022,105.5,0.723,0.52,0.534,170.8,69.0,0.401,0
CTY0095,MO,276392,0.681,0.238,22000,0.186,50.1,0.445,0.725,0.472,181.9,77.11,0.338,1
CTY0096,GA,51680,0.173,0.484,40399,0.054,48.0,0.376,0.516,0.417,147.4,43.39,0.622,0
CTY0097,IL,33196,0.526,0.247,51973,0.164,85.9,0.507,0.395,0.3,159.5,85.5,0.209,1
CTY0098,TX,17079,0.355,0.384,67258,0.061,82.4,0.322,0.703,0.581,212.6,24.47,0.746,0
CTY0099,IN,13235,0.813,0.156,38368,0.143,69.3,0.533,0.749,0.582,239.5,74.87,0.306,1
CTY0100,TN,34121,0.288,0.261,48346,0.149,81.1,0.772,0.534,0.609,133.8,43.27,0.475,0
CTY0101,WV,135105,0.399,0.398,36406,0.132,61.4,0.691,0.5,0.56,211.0,65.37,0.452,0
CTY0102,TN,84479,0.328,0.195,61974,0.09,75.2,0.395,0.683,0.316,97.1,52.98,0.43,0
CTY0103,WV,42447,0.521,0.291,60207,0.085,34.0,0.611,0.609,0.496,111.2,86.08,0.239,1
CTY0104,FL,44771,0.152,0.333,48878,0.056,101.8,0.442,0.324,0.429,180.8,54.14,0.457,0
CTY0105,MO,306237,0.752,0.252,54505,0.155,43.6,0.61,0.426,0.638,100.3,68.37,0.315,0
CTY0106,KY,17669,0.546,0.277,52508,0.206,79.3,0.422,0.49,0.634,265.0,82.1,0.281,1
CTY0107,PA,8573,0.802,0.232,78293,0.144,60.1,0.548,0.359,0.546,124.0,88.5,0.18,1
CTY0108,TN,13392,0.361,0.184,72349,0.02,65.7,0.567,0.709,0.373,97.3,86.8,0.228,1
CTY0109,TN,11505,0.57,0.229,80271,0.049,110.8,0.466,0.607,0.472,129.5,70.37,0.369,0
CTY0110,AL,96376,0.219,0.273,38576,0.126,117.3,0.373,0.651,0.638,214.8,27.72,0.723,0
CTY0111,IL,302099,0.434,0.299,57071,0.193,56.3,0.751,0.509,0.511,227.5,70.02,0.345,0
CTY0112,AL,52700,0.014,0.239,59730,0.114,62.5,0.453,0.638,0.353,260.0,48.35,0.591,0
CTY0113,IL,73038,0.498,0.352,70040,0.076,95.1,0.391,0.451,0.399,303.4,52.5,0.52,0
CTY0114,MO,103993,0.124,0.514,43043,0.155,51.0,0.377,0.435,0.779,178.6,24.11,0.717,0
CTY0115,KY,15961,0.33,0.271,50307,0.123,19.4,0.386,0.587,0.513,124.8,75.12,0.275,1
CTY0116,FL,28706,0.363,0.122,31497,0.135,51.9,0.485,0.279,0.565,121.7,82.19,0.266,1
CTY0117,NC,191469,0.256,0.158,42125,0.166,53.4,0.485,0.725,0.78,226.3,63.96,0.431,0
CTY0118,VA,137760,0.31,0.402,65405,0.116,113.9,0.482,0.63,0.56,328.2,44.19,0.513,0
CTY0119,AL,48871,0.15,0.417,66024,0.157,41.7,0.776,0.556,0.449,89.4,70.35,0.291,0
CTY0120,IL,14767,0.218,0.368,39822,0.094,89.7,0.581,0.343,0.563,288.5,33.88,0.695,0
CTY0121,IL,66315,0.338,0.296,35309,0.129,59.9,0.323,0.71,0.496,192.6,51.81,0.497,0
CTY0122,WV,11044,0.535,0.266,49087,0.081,113.2,0.675,0.785,0.591,245.5,62.72,0.45,0
CTY0123,NC,213493,0.308,0.268,43197,0.098,98.5,0.503,0.614,0.316,135.5,57.09,0.423,0
CTY0124,TX,40156,0.094,0.543,76743,0.059,95.7,0.275,0.673,0.473,274.5,25.66,0.724,0
CTY0125,IL,13656,0.534,0.193,44455,0.091,78.0,0.733,0.576,0.318,312.5,82.43,0.323,1
CTY0126,WV,71900,0.465,0.224,63693,0.071,56.4,0.756,0.535,0.258,298.8,79.02,0.287,1
CTY0127,OH,94789,0.653,0.351,65211,0.245,23.7,0.497,0.407,0.388,147.4,83.33,0.183,1
CTY0128,IN,109700,0.747,0.395,63099,0.085,88.1,0.473,0.478,0.313,191.3,61.29,0.435,0
CTY0129,NC,42423,0.83,0.271,41916,0.058,77.1,0.731,0.254,0.551,49.3,89.25,0.18,1
CTY0130,MO,16289,0.489,0.228,40053,0.152,85.9,0.868,0.317,0.506,179.7,90.31,0.231,1
CTY0131,TN,15658,0.497,0.271,46271,0.162,107.2,0.395,0.457,0.593,190.3,64.93,0.388,0
CTY0132,IL,74571,0.098,0.173,53169,0.078,53.1,0.169,0.438,0.376,260.1,49.65,0.59,0
CTY0133,FL,59959,0.493,0.374,42335,0.145,75.7,0.901,0.197,0.482,155.0,72.74,0.36,1
CTY0134,WV,20324,0.298,0.261,61848,0.137,59.7,0.624,0.556,0.501,223.1,71.11,0.358,1
CTY0135,TN,42189,0.462,0.309,56776,0.026,69.6,0.839,0.444,0.582,67.0,81.48,0.259,1
CTY0136,NC,78999,0.481,0.245,68900,0.045,77.5,0.371,0.638,0.574,92.0,68.68,0.419,0
CTY0137,NC,14862,0.281,0.334,49183,0.027,46.4,0.521,0.584,0.742,142.1,49.36,0.549,0
CTY0138,GA,5903,0.206,0.233,70501,0.13,64.5,0.47,0.71,0.465,232.0,63.57,0.4,0
CTY0139,GA,75174,0.428,0.256,56742,0.154,51.7,0.282,0.504,0.356,91.4,76.48,0.315,1
CTY0140,OH,68227,0.775,0.211,40863,0.145,70.0,0.185,0.665,0.275,107.8,65.64,0.292,0
CTY0141,AL,10709,0.538,0.328,74610,0.139,101.8,0.224,0.551,0.551,111.9,38.63,0.632,0
CTY0142,MI,6396,0.531,0.4,50194,0.137,50.3,0.375,0.534,0.2,57.6,73.16,0.273,1
CTY0143,IN,659593,0.421,0.304,55678,0.098,80.1,0.542,0.716,0.33,248.5,65.62,0.373,0
CTY0144,KY,31174,0.599,0.278,76888,0.064,99.9,0.62,0.824,0.624,121.2,64.02,0.472,0
CTY0145,OH,11457,0.79,0.221,44524,0.168,72.4,0.373,0.521,0.523,100.1,68.25,0.332,0
CTY0146,GA,2678,0.572,0.148,58466,0.13,34.0,0.461,0.48,0.375,205.0,81.28,0.236,1
CTY0147,IL,79869,0.214,0.115,44612,0.104,74.8,0.789,0.577,0.479,152.4,75.48,0.261,1
CTY0148,OH,966187,0.312,0.262,70245,0.051,63.7,0.444,0.52,0.471,175.9,62.91,0.416,0
CTY0149,AL,129717,0.275,0.228,35559,0.167,21.3,0.79,0.672,0.51,234.3,86.79,0.233,1
CTY0150,FL,212645,0.278,0.143,50715,0.079,67.7,0.387,0.536,0.396,210.2,76.08,0.285,1
CTY0151,TX,9483,0.287,0.282,67225,0.116,73.6,0.316,0.811,0.457,277.4,69.1,0.387,0
CTY0152,OH,149541,0.477,0.172,70119,0.111,73.6,0.456,0.726,0.529,93.9,72.06,0.347,1
CTY0153,GA,52762,0.581,0.408,60537,0.136,69.0,0.406,0.605,0.429,277.8,59.91,0.417,0
CTY0154,KY,28027,0.606,0.342,22000,0.02,51.3,0.284,0.41,0.589,173.7,51.85,0.507,0
CTY0155,IL,58335,0.152,0.313,73490,0.16,90.1,0.566,0.635,0.456,67.1,38.11,0.626,0
CTY0156,PA,33644,0.408,0.151,52731,0.233,59.8,0.782,0.474,0.753,264.3,83.94,0.288,1
CTY0157,TN,55796,0.731,0.246,49169,0.176,82.3,0.399,0.685,0.356,314.2,82.33,0.229,1
CTY0158,OH,26919,0.371,0.209,56253,0.173,72.7,0.462,0.533,0.567,190.8,78.04,0.268,1
CTY0159,NC,43980,0.248,0.272,62833,0.196,48.9,0.156,0.681,0.539,168.4,49.54,0.489,0
CTY0160,FL,602190,0.307,0.208,38067,0.103,97.8,0.394,0.561,0.494,256.7,52.71,0.56,0
CTY0161,MI,31335,0.19,0.152,59831,0.11,98.0,0.714,0.381,0.673,183.6,63.41,0.473,0
CTY0162,TX,212132,0.228,0.147,44947,0.135,74.7,0.459,0.599,0.39,89.7,64.37,0.431,0
CTY0163,TX,105297,0.43,0.266,79419,0.16,109.9,0.747,0.9,0.271,159.5,79.28,0.231,1
CTY0164,NC,68515,0.356,0.125,69132,0.022,111.7,0.699,0.512,0.191,251.5,72.66,0.34,1
CTY0165,VA,259280,0.256,0.381,54348,0.156,74.0,0.483,0.15,0.628,170.7,38.85,0.576,0
CTY0166,TX,184196,0.798,0.169,80801,0.191,74.4,0.364,0.526,0.458,256.2,68.04,0.346,0
CTY0167,MO,8716,0.346,0.282,52464,0.046,74.4,0.434,0.525,0.612,199.9,49.48,0.571,0
CTY0168,PA,235856,0.299,0.278,30966,0.192,64.4,0.592,0.516,0.507,85.4,60.71,0.406,0
CTY0169,KY,9179,0.47,0.318,62147,0.072,63.6,0.618,0.352,0.471,226.4,74.51,0.307,1
CTY0170,MI,122699,0.585,0.349,62575,0.124,110.7,0.528,0.463,0.646,153.2,66.21,0.43,0
CTY0171,VA,123654,0.355,0.14,49558,0.126,45.3,0.92,0.564,0.438,40.0,89.22,0.214,1
CTY0172,GA,67393,0.44,0.353,60615,0.065,66.6,0.14,0.613,0.328,147.9,45.44,0.543,0
CTY0173,MI,26981,0.185,0.131,65189,0.051,64.0,0.45,0.642,0.49,316.1,69.4,0.414,0
CTY0174,TN,68089,0.596,0.334,50369,0.209,42.1,0.872,0.408,0.426,120.0,84.66,0.18,1
CTY0175,IL,17714,0.306,0.361,51547,0.069,48.8,0.43,0.53,0.609,301.2,49.6,0.542,0
CTY0176,TN,37293,0.25,0.141,52359,0.098,89.5,0.1,0.411,0.457,164.1,36.21,0.615,0
CTY0177,AL,165265,0.14,0.263,49822,0.227,76.0,0.315,0.569,0.363,178.6,52.4,0.494,0
CTY0178,MI,316329,0.332,0.37,50264,0.128,52.7,0.577,0.306,0.293,145.4,78.04,0.234,1
CTY0179,NC,70216,0.199,0.258,70680,0.057,63.9,0.237,0.35,0.611,172.0,47.28,0.574,0
CTY0180,MI,13358,0.295,0.31,60656,0.04,84.6,0.733,0.49,0.438,161.1,77.27,0.372,1
CTY0181,IN,145652,0.221,0.514,58584,0.197,107.7,0.342,0.525,0.509,176.3,43.6,0.565,0
CTY0182,AL,781223,0.395,0.088,38434,0.136,48.0,0.387,0.662,0.234,40.0,80.79,0.18,1
CTY0183,TN,91066,0.119,0.215,52522,0.02,37.3,0.137,0.568,0.524,247.4,29.75,0.661,0
CTY0184,TX,27203,0.366,0.443,55074,0.035,90.1,0.409,0.439,0.406,84.6,40.33,0.649,0
CTY0185,MI,104073,0.392,0.11,50163,0.111,54.4,0.336,0.561,0.503,40.0,70.64,0.364,0
CTY0186,TX,19436,0.294,0.333,65706,0.112,88.6,0.491,0.305,0.289,193.4,63.06,0.387,0
CTY0187,VA,163627,0.218,0.334,35889,0.187,46.5,0.471,0.772,0.258,184.8,66.01,0.313,0
CTY0188,PA,83220,0.242,0.502,44323,0.09,40.8,0.383,0.685,0.618,246.6,46.51,0.592,0
CTY0189,IL,41700,0.313,0.271,22000,0.066,51.1,0.528,0.398,0.376,133.6,80.67,0.369,1
CTY0190,AL,52668,0.336,0.354,41545,0.148,98.0,0.49,0.714,0.578,212.1,57.49,0.485,0
CTY0191,AL,213958,0.3,0.42,74294,0.095,108.6,0.623,0.44,0.443,179.7,63.24,0.348,0
CTY0192,VA,16805,0.379,0.082,37032,0.134,77.6,0.651,0.715,0.377,250.7,83.79,0.237,1
CTY0193,IN,42760,0.181,0.341,45045,0.132,54.8,0.645,0.646,0.18,194.7,66.4,0.363,0
CTY0194,IL,359895,0.437,0.395,72450,0.172,80.0,0.132,0.541,0.418,210.4,35.23,0.526,0
CTY0195,TX,174899,0.134,0.305,36055,0.128,91.3,0.369,0.508,0.442,118.4,66.12,0.449,0
CTY0196,MO,297294,0.559,0.196,28384,0.115,60.2,0.443,0.446,0.43,211.7,72.21,0.275,1
CTY0197,VA,11952,0.537,0.4,61572,0.089,68.4,0.652,0.55,0.362,296.3,66.57,0.367,0
CTY0198,NC,35935,0.325,0.279,68956,0.179,85.2,0.508,0.474,0.486,213.8,24.13,0.702,0
CTY0199,KY,26781,0.728,0.316,58413,0.193,82.0,0.456,0.662,0.606,213.4,69.02,0.378,0
CTY0200,KY,685037,0.567,0.195,22000,0.109,67.4,0.298,0.601,0.427,160.8,70.38,0.316,0
CTY0201,FL,75514,0.064,0.108,55199,0.134,95.4,0.633,0.592,0.481,122.4,74.26,0.385,1
CTY0202,FL,11054,0.283,0.318,48352,0.026,65.6,0.92,0.18,0.431,167.2,85.84,0.331,1
CTY0203,MI,115246,0.725,0.408,54110,0.174,66.5,0.862,0.542,0.557,218.7,77.09,0.269,1
CTY0204,NC,46063,0.408,0.136,49723,0.183,119.4,0.637,0.615,0.384,158.1,68.45,0.314,0
CTY0205,IL,9228,0.411,0.208,44746,0.066,72.7,0.482,0.668,0.341,168.9,57.97,0.511,0
CTY0206,FL,319660,0.485,0.228,58728,0.154,77.8,0.377,0.775,0.535,232.3,66.24,0.396,0
CTY0207,WV,149508,0.044,0.091,38617,0.142,71.4,0.448,0.596,0.474,207.9,64.67,0.484,0
CTY0208,WV,329151,0.462,0.265,44897,0.119,114.2,0.359,0.381,0.533,179.2,42.91,0.522,0
CTY0209,AL,27589,0.16,0.438,56936,0.111,43.3,0.506,0.596,0.444,135.6,56.84,0.44,0
CTY0210,PA,107137,0.229,0.283,56739,0.188,85.5,0.494,0.399,0.489,192.4,78.57,0.307,1
CTY0211,WV,36052,0.537,0.157,47981,0.05,80.1,0.66,0.449,0.598,173.8,74.68,0.352,1
CTY0212,OH,15314,0.288,0.328,68082,0.075,36.9,0.513,0.573,0.503,223.7,70.77,0.316,0
CTY0213,MI,44753,0.197,0.305,87952,0.107,53.9,0.615,0.484,0.341,303.6,74.24,0.338,1
CTY0214,NC,15920,0.318,0.301,22000,0.041,65.3,0.559,0.402,0.561,133.3,58.37,0.535,0
CTY0215,MO,42636,0.583,0.273,45383,0.12,61.5,0.491,0.697,0.34,156.5,61.67,0.364,0
CTY0216,OH,89268,0.162,0.201,55738,0.077,56.5,0.765,0.865,0.241,140.0,64.58,0.444,0
CTY0217,VA,147497,0.276,0.185,64419,0.092,59.7,0.48,0.651,0.379,207.4,67.75,0.354,0
CTY0218,NC,67484,0.237,0.402,43766,0.057,125.1,0.548,0.461,0.701,158.9,54.02,0.513,0
CTY0219,MI,101770,0.398,0.353,29364,0.079,67.5,0.489,0.678,0.552,296.8,40.5,0.551,0
CTY0220,GA,10855,0.292,0.191,63995,0.1,62.7,0.468,0.424,0.505,85.2,57.26,0.493,0
CTY0221,VA,98575,0.479,0.25,51750,0.124,53.9,0.273,0.422,0.554,213.8,61.69,0.472,0
CTY0222,IL,41197,0.376,0.05,48878,0.105,31.3,0.609,0.408,0.655,198.7,82.79,0.322,1
CTY0223,KY,28141,0.199,0.272,60287,0.071,91.5,0.605,0.55,0.5,227.7,48.33,0.561,0
CTY0224,MI,119799,0.436,0.337,32826,0.239,81.2,0.718,0.478,0.443,219.6,78.84,0.317,1
CTY0225,WV,31064,0.229,0.25,50618,0.165,48.7,0.315,0.466,0.515,196.2,38.76,0.58,0
CTY0226,TN,174064,0.135,0.423,45241,0.128,59.5,0.794,0.503,0.453,152.0,70.52,0.437,0
CTY0227,OH,13385,0.749,0.099,57801,0.17,37.4,0.579,0.467,0.454,107.5,88.83,0.222,1
CTY0228,PA,90661,0.435,0.285,64915,0.059,39.8,0.291,0.203,0.702,217.9,50.0,0.485,0
CTY0229,NC,22985,0.666,0.106,52672,0.044,39.7,0.335,0.674,0.505,171.6,77.11,0.373,1
CTY0230,OH,91004,0.54,0.353,59210,0.044,88.0,0.631,0.539,0.479,40.0,67.14,0.392,0
CTY0231,WV,56900,0.471,0.173,63373,0.076,34.3,0.474,0.447,0.544,169.4,77.93,0.216,1
CTY0232,IL,69397,0.651,0.328,43324,0.126,70.0,0.494,0.564,0.18,103.8,73.58,0.296,1
CTY0233,IN,15496,0.535,0.186,56448,0.148,44.0,0.429,0.428,0.343,264.2,84.02,0.227,1
CTY0234,WV,31871,0.51,0.119,44299,0.093,25.1,0.477,0.692,0.356,213.8,71.8,0.383,1
CTY0235,FL,48820,0.496,0.335,48300,0.128,84.6,0.631,0.753,0.516,332.7,64.8,0.384,0
CTY0236,GA,48873,0.833,0.264,61306,0.117,89.5,0.673,0.543,0.767,192.5,72.0,0.249,1
CTY0237,AL,252971,0.397,0.253,57358,0.098,101.5,0.604,0.317,0.421,40.0,61.36,0.382,0
CTY0238,IN,317291,0.523,0.387,28151,0.143,59.9,0.275,0.508,0.531,192.1,59.02,0.474,0
CTY0239,PA,53876,0.681,0.27,55463,0.17,52.4,0.562,0.47,0.468,118.3,87.21,0.246,1
CTY0240,TX,39443,0.498,0.34,70429,0.02,74.5,0.792,0.725,0.486,153.4,72.82,0.395,1
